transaction_id,sender_person_id,sender_account_id,receiver_person_id,receiver_account_id,transaction_datetime,amount_inr,transaction_type,bank_id,branch_id,reference,location_id,case_id
TXN-0004218,P-001229,AC-001229,P-000296,AC-000296,2026-06-21 05:15:20,107116,TRANSFER,BOK-DBS,BR-189,UTR-6411506603,,
TXN-0004219,P-000471,AC-000471,P-001231,AC-001231,2026-02-17 17:43:44,39224,RTGS,BOK-IDFC,BR-096,UTR-5358631102,,CR-2026-2002
TXN-0004220,P-001847,AC-001847,P-001863,AC-001863,2026-02-17 07:59:15,56006,TRANSFER,BOK-BOA,BR-131,UTR-1903942388,L-000190,
TXN-0004221,P-001476,AC-001476,P-000047,AC-000047,2026-02-08 19:43:37,235609,NEFT,BOK-IB,BR-168,UTR-9827048159,,
TXN-0004222,P-000900,AC-000900,P-001420,AC-001420,2026-04-25 03:57:16,64633,TRANSFER,BOK-SBI,BR-219,UTR-6654366245,L-000009,CR-2026-2005
TXN-0004223,P-001779,AC-001779,P-001851,AC-001851,2026-05-09 21:37:36,71915,NEFT,BOK-IDFC,BR-060,UTR-6162244737,,
TXN-0004224,P-000754,AC-000754,P-001720,AC-001720,2026-05-26 03:12:58,122910,RTGS,BOK-SBI,BR-053,UTR-6227366885,,
TXN-0004225,P-000201,AC-000201,P-000619,AC-000619,2026-06-28 16:02:26,171931,RTGS,BOK-ESAF,BR-189,UTR-3594943762,,
TXN-0004226,P-001449,AC-001449,P-001448,AC-001448,2026-03-27 12:26:25,94303,UPI,BOK-YES,BR-020,UTR-2163371503,,
TXN-0004227,P-000344,AC-000344,P-001028,AC-001028,2026-01-10 13:00:33,206812,TRANSFER,BOK-YES,BR-115,UTR-3576916506,,
TXN-0004228,P-001463,AC-001463,P-001070,AC-001070,2026-03-22 06:31:27,15133,UPI,BOK-CUB,BR-172,UTR-8906115877,,CR-2026-2004
TXN-0004229,P-000574,AC-000574,P-001775,AC-001775,2026-03-18 12:31:07,73172,TRANSFER,BOK-UCO,BR-034,UTR-1418695343,,CR-2026-2010
TXN-0004230,P-000256,AC-000256,P-001883,AC-001883,2026-07-02 21:04:51,206563,RTGS,BOK-BOA,BR-041,UTR-9295984339,L-000166,
TXN-0004231,P-001847,AC-001847,P-001863,AC-001863,2026-06-09 21:07:57,54069,CASH,BOK-BOA,BR-131,UTR-1725331466,L-000008,
TXN-0004232,P-001846,AC-001846,P-000981,AC-000981,2026-03-27 00:17:41,63252,TRANSFER,BOK-HDFC,BR-134,UTR-3141176429,,
TXN-0004233,P-001860,AC-001860,P-000464,AC-000464,2026-04-07 16:49:13,111793,UPI,BOK-PNB,BR-178,UTR-2921836488,,
TXN-0004234,P-000134,AC-000134,P-001948,AC-001948,2026-02-15 15:58:43,157236,NEFT,BOK-YES,BR-180,UTR-4186282513,,
TXN-0004235,P-001463,AC-001463,P-001725,AC-001725,2026-08-06 03:33:41,78393,TRANSFER,BOK-KVB,BR-092,UTR-9547643126,,CR-2026-2014
TXN-0004236,P-001964,AC-001964,P-001701,AC-001701,2026-03-18 12:31:26,222775,TRANSFER,BOK-HDFC,BR-199,UTR-8951697199,,CR-2026-2004
TXN-0004237,P-001966,AC-001966,P-001568,AC-001568,2026-07-12 07:08:45,144661,UPI,BOK-YES,BR-214,UTR-4000743458,,
TXN-0004238,P-001420,AC-001420,P-001559,AC-001559,2026-06-08 03:19:57,176167,CASH,BOK-ESAF,BR-176,UTR-6956761760,,
TXN-0004239,P-000001,AC-000001,P-001544,AC-001544,2026-05-30 13:44:40,51736,TRANSFER,BOK-PNB,BR-007,UTR-2179141481,,
TXN-0004240,P-000914,AC-000914,P-001536,AC-001536,2026-07-08 21:20:37,55496,TRANSFER,BOK-DBS,BR-102,UTR-4583755745,,
TXN-0004241,P-000889,AC-000889,P-000709,AC-000709,2026-03-29 12:08:33,134494,RTGS,BOK-AXIS,BR-208,UTR-3586788527,,CR-2026-2002
TXN-0004242,P-001273,AC-001273,P-001007,AC-001007,2026-06-13 16:10:05,59600,CASH,BOK-IB,BR-040,UTR-5934903965,L-000188,CR-2026-2010
TXN-0004243,P-001584,AC-001584,P-001759,AC-001759,2026-07-14 17:50:28,74838,TRANSFER,BOK-ESAF,BR-201,UTR-8335775135,,
TXN-0004244,P-000402,AC-000402,P-000456,AC-000456,2026-07-02 15:46:24,78237,CASH,BOK-DBS,BR-022,UTR-1519009781,,
TXN-0004245,P-001380,AC-001380,P-001014,AC-001014,2026-06-24 06:46:40,195912,TRANSFER,BOK-CAN,BR-163,UTR-3061204487,,CR-2026-2002
TXN-0004246,P-001072,AC-001072,P-000834,AC-000834,2026-04-13 21:53:30,151132,RTGS,BOK-CAN,BR-017,UTR-6149474920,,CR-2026-2014
TXN-0004247,P-000854,AC-000854,P-001437,AC-001437,2026-07-05 23:55:32,185058,RTGS,BOK-FED,BR-129,UTR-8313396275,,
TXN-0004248,P-001439,AC-001439,P-001884,AC-001884,2026-03-17 09:09:13,53625,UPI,BOK-PNB,BR-169,UTR-5825665006,,
TXN-0004249,P-000938,AC-000938,P-001711,AC-001711,2026-01-08 05:58:40,136002,RTGS,BOK-IDFC,BR-147,UTR-5764142322,,CR-2026-2016
TXN-0004250,P-001463,AC-001463,P-001725,AC-001725,2026-06-16 06:50:20,78002,NEFT,BOK-KVB,BR-092,UTR-4479634123,,
TXN-0004251,P-000613,AC-000613,P-000904,AC-000904,2026-02-08 06:49:31,15309,UPI,BOK-PNB,BR-155,UTR-5937954227,,
TXN-0004252,P-001979,AC-001979,P-001584,AC-001584,2026-05-20 18:56:09,80354,NEFT,BOK-PNB,BR-114,UTR-4545628136,,CR-2026-2019
TXN-0004253,P-000341,AC-000341,P-000488,AC-000488,2026-05-22 22:11:06,74975,TRANSFER,BOK-YES,BR-072,UTR-2485267755,,CR-2026-2017
TXN-0004254,P-000651,AC-000651,P-001326,AC-001326,2026-01-07 21:01:01,152852,TRANSFER,BOK-CBI,BR-045,UTR-8136508745,,
TXN-0004255,P-001547,AC-001547,P-000202,AC-000202,2026-08-17 06:38:08,82303,UPI,BOK-ICICI,BR-121,UTR-4623623467,,
TXN-0004256,P-000755,AC-000755,P-001508,AC-001508,2026-06-14 20:53:44,211125,RTGS,BOK-YES,BR-142,UTR-7042885516,,
TXN-0004257,P-000760,AC-000760,P-000901,AC-000901,2026-08-04 01:23:39,64301,CASH,BOK-HDFC,BR-212,UTR-7356926610,,
TXN-0004258,P-001111,AC-001111,P-001983,AC-001983,2026-05-17 19:56:57,80535,CASH,BOK-BOA,BR-088,UTR-3485049423,,
TXN-0004259,P-001801,AC-001801,P-001105,AC-001105,2026-03-27 20:51:32,161039,TRANSFER,BOK-KVB,BR-215,UTR-8580012679,,
TXN-0004260,P-000456,AC-000456,P-000760,AC-000760,2026-08-01 01:18:55,73071,CASH,BOK-SBI,BR-208,UTR-1120547668,,
TXN-0004261,P-000756,AC-000756,P-000694,AC-000694,2026-05-07 01:25:36,106265,UPI,BOK-CAN,BR-192,UTR-9241265550,,CR-2026-2014
TXN-0004262,P-001644,AC-001644,P-000928,AC-000928,2026-05-24 10:26:54,105263,CASH,BOK-YES,BR-167,UTR-7872491363,,CR-2026-2006
TXN-0004263,P-000592,AC-000592,P-001614,AC-001614,2026-08-03 12:48:16,224299,RTGS,BOK-CAN,BR-033,UTR-7056818322,,
TXN-0004264,P-000575,AC-000575,P-001649,AC-001649,2026-03-11 20:45:49,95259,UPI,BOK-AXIS,BR-117,UTR-4348936428,,
TXN-0004265,P-000048,AC-000048,P-000437,AC-000437,2026-02-07 09:11:58,207509,UPI,BOK-FED,BR-153,UTR-8440031655,,
TXN-0004266,P-001745,AC-001745,P-000638,AC-000638,2026-01-15 02:19:24,5780,CASH,BOK-RBL,BR-084,UTR-3593921531,,
TXN-0004267,P-001725,AC-001725,P-001522,AC-001522,2026-06-07 12:59:52,72002,UPI,BOK-ICICI,BR-046,UTR-9743557960,,CR-2026-2002
TXN-0004268,P-000502,AC-000502,P-001932,AC-001932,2026-05-05 17:11:23,59473,UPI,BOK-INDUS,BR-178,UTR-6158539674,L-000063,
TXN-0004269,P-000976,AC-000976,P-000798,AC-000798,2026-02-06 03:00:29,79964,CASH,BOK-RBL,BR-165,UTR-9670642877,,
TXN-0004270,P-000085,AC-000085,P-001044,AC-001044,2026-08-30 08:36:04,78546,TRANSFER,BOK-PNB,BR-091,UTR-1087199093,,
TXN-0004271,P-000595,AC-000595,P-000781,AC-000781,2026-03-18 08:18:56,228567,CASH,BOK-HDFC,BR-155,UTR-5720403457,,
TXN-0004272,P-000705,AC-000705,P-001380,AC-001380,2026-04-16 01:38:02,217644,TRANSFER,BOK-SBI,BR-014,UTR-4058609176,L-000181,
TXN-0004273,P-001635,AC-001635,P-001271,AC-001271,2026-08-06 14:50:06,27350,RTGS,BOK-IDFC,BR-010,UTR-5024684609,,
TXN-0004274,P-001832,AC-001832,P-001269,AC-001269,2026-03-08 02:30:31,23678,UPI,BOK-AXIS,BR-120,UTR-4810594985,,CR-2026-2005
TXN-0004275,P-000390,AC-000390,P-000914,AC-000914,2026-01-14 02:49:53,64072,TRANSFER,BOK-CAN,BR-122,UTR-7968476915,,
TXN-0004276,P-000279,AC-000279,P-000795,AC-000795,2026-05-01 15:20:47,73968,UPI,BOK-UCO,BR-071,UTR-9537959662,,
TXN-0004277,P-000219,AC-000219,P-000411,AC-000411,2026-02-07 12:37:03,130883,NEFT,BOK-IDFC,BR-187,UTR-8520491883,,
TXN-0004278,P-001044,AC-001044,P-001258,AC-001258,2026-05-27 10:31:28,70745,NEFT,BOK-RBL,BR-075,UTR-1018688243,,CR-2026-2004
TXN-0004279,P-001531,AC-001531,P-000866,AC-000866,2026-08-03 14:22:22,81936,TRANSFER,BOK-CBI,BR-186,UTR-5943622889,,
TXN-0004280,P-001683,AC-001683,P-000117,AC-000117,2026-05-03 22:12:04,201427,CASH,BOK-FED,BR-127,UTR-5895197006,,CR-2026-2003
TXN-0004281,P-001331,AC-001331,P-000341,AC-000341,2026-06-17 04:31:27,99446,NEFT,BOK-HDFC,BR-187,UTR-1738311991,,CR-2026-2001
TXN-0004282,P-001643,AC-001643,P-001783,AC-001783,2026-05-09 04:45:36,106991,UPI,BOK-BOA,BR-190,UTR-1117308266,,
TXN-0004283,P-001849,AC-001849,P-000205,AC-000205,2026-08-12 09:36:01,6026,UPI,BOK-KVB,BR-167,UTR-9664399697,L-000060,CR-2026-2013
TXN-0004284,P-001503,AC-001503,P-000268,AC-000268,2026-07-22 21:39:38,13242,RTGS,BOK-YES,BR-117,UTR-5193457451,,CR-2026-2002
TXN-0004285,P-000866,AC-000866,P-000442,AC-000442,2026-01-24 07:22:18,73505,RTGS,BOK-ICICI,BR-071,UTR-1899468699,,
TXN-0004286,P-001490,AC-001490,P-000280,AC-000280,2026-08-04 13:34:38,12389,TRANSFER,BOK-SBI,BR-029,UTR-6944449576,,
TXN-0004287,P-001555,AC-001555,P-000973,AC-000973,2026-03-21 02:37:35,74560,RTGS,BOK-BOB,BR-006,UTR-4825311994,L-000196,
TXN-0004288,P-001851,AC-001851,P-001451,AC-001451,2026-06-24 14:48:33,66392,RTGS,BOK-IDFC,BR-008,UTR-5835539018,,
TXN-0004289,P-001379,AC-001379,P-001667,AC-001667,2026-06-09 02:33:32,25866,TRANSFER,BOK-IB,BR-001,UTR-3468112057,,CR-2026-2018
TXN-0004290,P-000402,AC-000402,P-000456,AC-000456,2026-07-17 18:16:02,80643,RTGS,BOK-DBS,BR-022,UTR-6373879063,,
TXN-0004291,P-001536,AC-001536,P-000942,AC-000942,2026-05-03 07:17:47,53099,NEFT,BOK-ICICI,BR-184,UTR-1697362444,,CR-2026-2018
TXN-0004292,P-001031,AC-001031,P-000574,AC-000574,2026-04-20 14:21:05,37548,TRANSFER,BOK-CAN,BR-141,UTR-5135072421,,
TXN-0004293,P-001622,AC-001622,P-001644,AC-001644,2026-04-27 13:17:34,170502,UPI,BOK-PNB,BR-102,UTR-4856542559,,
TXN-0004294,P-000563,AC-000563,P-000784,AC-000784,2026-05-05 13:16:26,66694,TRANSFER,BOK-PNB,BR-092,UTR-9363787498,,
TXN-0004295,P-001005,AC-001005,P-000830,AC-000830,2026-04-01 18:27:35,224038,TRANSFER,BOK-CUB,BR-129,UTR-9258247814,,
TXN-0004296,P-000942,AC-000942,P-001066,AC-001066,2026-05-08 13:14:44,72529,TRANSFER,BOK-CBI,BR-010,UTR-2399361395,,
TXN-0004297,P-000518,AC-000518,P-000236,AC-000236,2026-06-09 04:19:01,171469,RTGS,BOK-DBS,BR-024,UTR-1237495122,,CR-2026-2003
TXN-0004298,P-000339,AC-000339,P-001994,AC-001994,2026-05-26 12:09:35,96242,NEFT,BOK-CAN,BR-163,UTR-8110649139,,
TXN-0004299,P-000504,AC-000504,P-000443,AC-000443,2026-05-05 22:32:16,138214,RTGS,BOK-BOA,BR-176,UTR-6525705393,,
TXN-0004300,P-001718,AC-001718,P-001824,AC-001824,2026-04-17 07:08:27,150402,RTGS,BOK-PNB,BR-017,UTR-6796682144,,
TXN-0004301,P-000026,AC-000026,P-000875,AC-000875,2026-08-08 20:59:07,62279,NEFT,BOK-UCO,BR-157,UTR-6138437962,,
TXN-0004302,P-000670,AC-000670,P-001357,AC-001357,2026-04-19 17:03:10,183817,RTGS,BOK-FED,BR-214,UTR-4054683362,,
TXN-0004303,P-000591,AC-000591,P-001637,AC-001637,2026-07-03 02:36:12,42698,TRANSFER,BOK-FED,BR-016,UTR-1045944044,,
TXN-0004304,P-000773,AC-000773,P-001753,AC-001753,2026-04-16 22:27:16,145810,UPI,BOK-BOB,BR-209,UTR-6135452569,,CR-2026-2017
TXN-0004305,P-001298,AC-001298,P-000531,AC-000531,2026-08-01 17:02:43,164860,TRANSFER,BOK-IDFC,BR-153,UTR-9365287686,,
TXN-0004306,P-000515,AC-000515,P-001105,AC-001105,2026-07-30 10:42:10,38484,UPI,BOK-KVB,BR-215,UTR-1512899988,,
TXN-0004307,P-000815,AC-000815,P-001480,AC-001480,2026-02-20 01:20:29,15473,NEFT,BOK-SBI,BR-020,UTR-1810851119,,CR-2026-2006
TXN-0004308,P-001787,AC-001787,P-000308,AC-000308,2026-03-05 14:11:37,71421,TRANSFER,BOK-YES,BR-214,UTR-9896483922,,CR-2026-2018
TXN-0004309,P-000866,AC-000866,P-000442,AC-000442,2026-06-20 10:48:16,72888,NEFT,BOK-ICICI,BR-071,UTR-9170295330,,CR-2026-2020
TXN-0004310,P-001490,AC-001490,P-001515,AC-001515,2026-07-16 18:27:07,172328,TRANSFER,BOK-UCO,BR-109,UTR-9796063152,,CR-2026-2013
TXN-0004311,P-001787,AC-001787,P-000308,AC-000308,2026-04-01 21:59:38,74663,RTGS,BOK-YES,BR-214,UTR-1632099979,L-000090,
TXN-0004312,P-000336,AC-000336,P-001713,AC-001713,2026-07-24 12:30:33,150500,TRANSFER,BOK-BOB,BR-150,UTR-8696358176,,CR-2026-2020
TXN-0004313,P-000590,AC-000590,P-001479,AC-001479,2026-04-24 01:02:50,49303,TRANSFER,BOK-ESAF,BR-195,UTR-9782036497,,CR-2026-2013
TXN-0004314,P-001798,AC-001798,P-001687,AC-001687,2026-02-06 03:52:19,51216,UPI,BOK-IB,BR-171,UTR-8078385288,,CR-2026-2012
TXN-0004315,P-001380,AC-001380,P-000170,AC-000170,2026-01-16 21:17:30,20316,TRANSFER,BOK-CUB,BR-070,UTR-8173996307,,
TXN-0004316,P-000866,AC-000866,P-000442,AC-000442,2026-07-25 22:01:21,73986,TRANSFER,BOK-ICICI,BR-071,UTR-3097657032,,
TXN-0004317,P-001733,AC-001733,P-001594,AC-001594,2026-08-22 06:43:17,40115,TRANSFER,BOK-CAN,BR-102,UTR-7322117838,,
TXN-0004318,P-001044,AC-001044,P-001258,AC-001258,2026-02-10 17:27:26,72770,CASH,BOK-RBL,BR-075,UTR-7462473943,L-000061,CR-2026-2015
TXN-0004319,P-001863,AC-001863,P-001731,AC-001731,2026-08-12 15:40:07,22477,RTGS,BOK-IDFC,BR-167,UTR-4090003414,,CR-2026-2007
TXN-0004320,P-000973,AC-000973,P-000100,AC-000100,2026-01-15 07:41:02,66800,TRANSFER,BOK-SBI,BR-116,UTR-9800647416,,
TXN-0004321,P-001463,AC-001463,P-001725,AC-001725,2026-02-18 05:40:45,81196,RTGS,BOK-KVB,BR-092,UTR-3380981574,,
TXN-0004322,P-001548,AC-001548,P-000187,AC-000187,2026-07-16 12:44:23,210890,TRANSFER,BOK-IB,BR-047,UTR-4845385329,,
TXN-0004323,P-001447,AC-001447,P-001937,AC-001937,2026-01-04 23:04:00,145299,UPI,BOK-FED,BR-024,UTR-3770244170,,CR-2026-2001
TXN-0004324,P-001919,AC-001919,P-000085,AC-000085,2026-07-01 12:26:56,86734,TRANSFER,BOK-KVB,BR-205,UTR-9411279672,,
TXN-0004325,P-001787,AC-001787,P-000308,AC-000308,2026-06-09 02:06:20,74062,UPI,BOK-YES,BR-214,UTR-9544695772,,
TXN-0004326,P-000491,AC-000491,P-001788,AC-001788,2026-04-10 13:47:15,178656,RTGS,BOK-YES,BR-033,UTR-1444611010,,
TXN-0004327,P-000779,AC-000779,P-001747,AC-001747,2026-04-18 07:48:41,215599,CASH,BOK-IB,BR-009,UTR-4854671246,,
TXN-0004328,P-001786,AC-001786,P-000796,AC-000796,2026-02-08 09:52:13,3896,NEFT,BOK-DBS,BR-206,UTR-8762121354,,
TXN-0004329,P-001846,AC-001846,P-001512,AC-001512,2026-07-07 16:07:15,35877,TRANSFER,BOK-INDUS,BR-045,UTR-3306247009,,CR-2026-2016
TXN-0004330,P-001231,AC-001231,P-001685,AC-001685,2026-07-13 16:15:21,74522,UPI,BOK-KVB,BR-140,UTR-1747101711,,
TXN-0004331,P-000464,AC-000464,P-001563,AC-001563,2026-08-29 20:18:00,151645,TRANSFER,BOK-BOA,BR-150,UTR-6368464618,,
TXN-0004332,P-001458,AC-001458,P-001815,AC-001815,2026-07-20 16:05:35,210980,UPI,BOK-UCO,BR-051,UTR-2485824730,,
TXN-0004333,P-000094,AC-000094,P-001997,AC-001997,2026-04-24 02:46:13,154867,UPI,BOK-FED,BR-201,UTR-9751457789,L-000088,CR-2026-2004
TXN-0004334,P-000150,AC-000150,P-001118,AC-001118,2026-08-16 06:22:56,52028,TRANSFER,BOK-RBL,BR-012,UTR-9165376866,,
TXN-0004335,P-000090,AC-000090,P-000336,AC-000336,2026-07-12 11:12:27,216867,TRANSFER,BOK-DBS,BR-044,UTR-2071452104,,
TXN-0004336,P-000761,AC-000761,P-001887,AC-001887,2026-07-06 05:11:23,210940,CASH,BOK-IB,BR-069,UTR-6779521485,,
TXN-0004337,P-001240,AC-001240,P-001210,AC-001210,2026-08-06 00:25:52,208892,RTGS,BOK-CUB,BR-082,UTR-5049676210,L-000130,
TXN-0004338,P-001690,AC-001690,P-001852,AC-001852,2026-01-17 13:48:20,201985,RTGS,BOK-INDUS,BR-185,UTR-5832063258,,
TXN-0004339,P-000439,AC-000439,P-001669,AC-001669,2026-02-10 13:12:10,211374,RTGS,BOK-AXIS,BR-220,UTR-3218922248,,CR-2026-2002
TXN-0004340,P-001472,AC-001472,P-000501,AC-000501,2026-06-14 07:05:44,66996,TRANSFER,BOK-HDFC,BR-181,UTR-9193687688,,CR-2026-2013
TXN-0004341,P-001960,AC-001960,P-000348,AC-000348,2026-03-21 07:14:06,46677,NEFT,BOK-YES,BR-085,UTR-6567448303,,
TXN-0004342,P-000914,AC-000914,P-001536,AC-001536,2026-01-22 02:58:18,55503,RTGS,BOK-DBS,BR-102,UTR-3127372368,,CR-2026-2006
TXN-0004343,P-001317,AC-001317,P-000690,AC-000690,2026-07-24 17:44:40,177825,TRANSFER,BOK-CUB,BR-042,UTR-9063381918,,
TXN-0004344,P-001847,AC-001847,P-001863,AC-001863,2026-01-22 20:57:49,55436,TRANSFER,BOK-BOA,BR-131,UTR-6556896890,,
TXN-0004345,P-001769,AC-001769,P-001954,AC-001954,2026-06-26 13:04:43,220393,TRANSFER,BOK-CAN,BR-189,UTR-5038148516,,CR-2026-2018
TXN-0004346,P-000156,AC-000156,P-000419,AC-000419,2026-03-22 16:13:17,105293,TRANSFER,BOK-ESAF,BR-139,UTR-2395674645,,
TXN-0004347,P-000722,AC-000722,P-000248,AC-000248,2026-05-10 15:38:56,61622,TRANSFER,BOK-YES,BR-138,UTR-4805652162,,
TXN-0004348,P-000679,AC-000679,P-001995,AC-001995,2026-05-03 14:39:02,249250,UPI,BOK-UCO,BR-129,UTR-5062792425,,
TXN-0004349,P-000438,AC-000438,P-001683,AC-001683,2026-01-09 02:43:49,227353,TRANSFER,BOK-BOA,BR-044,UTR-3669444566,,
TXN-0004350,P-001919,AC-001919,P-000739,AC-000739,2026-03-13 03:10:53,81121,NEFT,BOK-ESAF,BR-149,UTR-7271268902,,CR-2026-2009
TXN-0004351,P-001935,AC-001935,P-000666,AC-000666,2026-05-28 21:48:49,78343,RTGS,BOK-CBI,BR-061,UTR-7676587251,,
TXN-0004352,P-000731,AC-000731,P-001254,AC-001254,2026-08-29 21:21:09,113043,UPI,BOK-CAN,BR-005,UTR-2945488471,,CR-2026-2007
TXN-0004353,P-000954,AC-000954,P-000860,AC-000860,2026-01-21 00:15:15,66607,UPI,BOK-SBI,BR-051,UTR-7887566720,,CR-2026-2002
TXN-0004354,P-000866,AC-000866,P-000442,AC-000442,2026-08-14 09:32:46,74332,UPI,BOK-ICICI,BR-071,UTR-3098064193,,CR-2026-2020
TXN-0004355,P-001775,AC-001775,P-000732,AC-000732,2026-07-06 01:12:22,67520,TRANSFER,BOK-INDUS,BR-076,UTR-9980761498,L-000153,
TXN-0004356,P-000428,AC-000428,P-000979,AC-000979,2026-08-30 00:44:12,5327,NEFT,BOK-ESAF,BR-215,UTR-6138842312,,CR-2026-2012
TXN-0004357,P-001392,AC-001392,P-001906,AC-001906,2026-01-29 05:51:55,177648,UPI,BOK-CBI,BR-054,UTR-1934811654,,
TXN-0004358,P-000773,AC-000773,P-001140,AC-001140,2026-04-19 09:46:47,29883,CASH,BOK-SBI,BR-219,UTR-7689607932,,CR-2026-2017
TXN-0004359,P-001522,AC-001522,P-001848,AC-001848,2026-02-01 10:51:12,68133,NEFT,BOK-YES,BR-026,UTR-7004645649,,
TXN-0004360,P-001979,AC-001979,P-001584,AC-001584,2026-05-15 10:06:33,78134,TRANSFER,BOK-PNB,BR-114,UTR-3567515986,,
TXN-0004361,P-000319,AC-000319,P-001834,AC-001834,2026-09-01 22:28:26,228166,TRANSFER,BOK-CAN,BR-053,UTR-8781679607,L-000068,
TXN-0004362,P-001869,AC-001869,P-000549,AC-000549,2026-04-18 19:14:52,242408,CASH,BOK-AXIS,BR-059,UTR-3226411528,,
TXN-0004363,P-001863,AC-001863,P-001136,AC-001136,2026-08-04 04:19:46,50314,CASH,BOK-DBS,BR-148,UTR-2359853359,,
TXN-0004364,P-001522,AC-001522,P-001848,AC-001848,2026-02-08 12:02:50,69317,RTGS,BOK-YES,BR-026,UTR-8970362592,,
TXN-0004365,P-000648,AC-000648,P-001983,AC-001983,2026-07-11 12:47:51,87067,UPI,BOK-BOA,BR-088,UTR-4780601652,,CR-2026-2011
TXN-0004366,P-001422,AC-001422,P-000511,AC-000511,2026-01-26 20:57:06,245436,TRANSFER,BOK-IDFC,BR-141,UTR-7662492347,,
TXN-0004367,P-001429,AC-001429,P-000258,AC-000258,2026-03-03 16:44:42,149774,TRANSFER,BOK-RBL,BR-033,UTR-8056026631,,
TXN-0004368,P-001389,AC-001389,P-000503,AC-000503,2026-01-23 02:36:11,229462,TRANSFER,BOK-BOA,BR-104,UTR-2877208101,,
TXN-0004369,P-000481,AC-000481,P-001526,AC-001526,2026-02-11 06:19:17,144660,TRANSFER,BOK-CBI,BR-192,UTR-6996452736,,
TXN-0004370,P-000767,AC-000767,P-001256,AC-001256,2026-03-31 16:06:36,59849,RTGS,BOK-DBS,BR-076,UTR-9896951862,,
TXN-0004371,P-000585,AC-000585,P-001719,AC-001719,2026-06-04 21:01:38,69922,TRANSFER,BOK-ESAF,BR-064,UTR-5461403458,,
TXN-0004372,P-000602,AC-000602,P-001622,AC-001622,2026-08-07 12:02:39,21470,UPI,BOK-ICICI,BR-023,UTR-6771105666,,CR-2026-2001
TXN-0004373,P-001469,AC-001469,P-000121,AC-000121,2026-05-24 21:38:12,112152,TRANSFER,BOK-HDFC,BR-007,UTR-5728072292,,
TXN-0004374,P-000641,AC-000641,P-001177,AC-001177,2026-02-13 16:39:23,191834,TRANSFER,BOK-FED,BR-183,UTR-5868141041,,CR-2026-2002
TXN-0004375,P-001848,AC-001848,P-000098,AC-000098,2026-05-13 19:29:53,58334,UPI,BOK-RBL,BR-009,UTR-1857975473,,CR-2026-2003
TXN-0004376,P-001917,AC-001917,P-000719,AC-000719,2026-07-13 22:40:23,241367,UPI,BOK-ESAF,BR-020,UTR-3623948098,,
TXN-0004377,P-001809,AC-001809,P-001072,AC-001072,2026-03-13 03:12:18,11227,RTGS,BOK-INDUS,BR-098,UTR-9153669910,,
TXN-0004378,P-001926,AC-001926,P-001493,AC-001493,2026-02-10 18:59:55,44054,CASH,BOK-BOB,BR-043,UTR-2979386694,,CR-2026-2001
TXN-0004379,P-001447,AC-001447,P-001303,AC-001303,2026-04-11 10:00:22,134465,UPI,BOK-BOA,BR-079,UTR-1899999971,,
TXN-0004380,P-000954,AC-000954,P-000860,AC-000860,2026-03-07 07:45:22,63762,CASH,BOK-SBI,BR-051,UTR-1760699225,,CR-2026-2002
TXN-0004381,P-000781,AC-000781,P-000080,AC-000080,2026-07-19 19:40:37,211797,NEFT,BOK-SBI,BR-025,UTR-7633742653,,
TXN-0004382,P-000085,AC-000085,P-001044,AC-001044,2026-01-19 19:54:27,79955,UPI,BOK-PNB,BR-091,UTR-4633918707,,
TXN-0004383,P-001921,AC-001921,P-000272,AC-000272,2026-04-13 21:36:50,42905,TRANSFER,BOK-INDUS,BR-192,UTR-6125242716,,CR-2026-2005
TXN-0004384,P-000548,AC-000548,P-001992,AC-001992,2026-01-18 22:26:33,171654,TRANSFER,BOK-INDUS,BR-134,UTR-5507034239,,
TXN-0004385,P-001472,AC-001472,P-000501,AC-000501,2026-05-24 01:11:35,70091,TRANSFER,BOK-HDFC,BR-181,UTR-9999889222,,CR-2026-2012
TXN-0004386,P-000372,AC-000372,P-000997,AC-000997,2026-06-24 07:39:32,99793,CASH,BOK-FED,BR-110,UTR-3910322557,,
TXN-0004387,P-001652,AC-001652,P-001815,AC-001815,2026-03-08 04:44:38,178459,NEFT,BOK-UCO,BR-051,UTR-1909107672,,
TXN-0004388,P-001949,AC-001949,P-000034,AC-000034,2026-08-04 10:29:12,120809,UPI,BOK-CAN,BR-111,UTR-4979738618,,
TXN-0004389,P-000837,AC-000837,P-001240,AC-001240,2026-06-09 20:43:54,230324,RTGS,BOK-SBI,BR-040,UTR-4137678873,,
TXN-0004390,P-001066,AC-001066,P-001208,AC-001208,2026-05-01 17:40:48,202557,CASH,BOK-YES,BR-220,UTR-2260232452,,
TXN-0004391,P-000913,AC-000913,P-000034,AC-000034,2026-07-20 11:59:53,30301,RTGS,BOK-CAN,BR-111,UTR-3602722916,,
TXN-0004392,P-000322,AC-000322,P-001153,AC-001153,2026-06-27 07:05:49,150286,UPI,BOK-BOB,BR-208,UTR-9436657942,,CR-2026-2010
TXN-0004393,P-001773,AC-001773,P-001941,AC-001941,2026-04-01 08:43:09,101408,TRANSFER,BOK-HDFC,BR-182,UTR-8561962920,,CR-2026-2015
TXN-0004394,P-001622,AC-001622,P-001687,AC-001687,2026-04-29 03:37:49,67416,TRANSFER,BOK-IB,BR-171,UTR-5133301097,,CR-2026-2002
